Komm gib mir deine Hand - Remastered 2009,The Beatles
Southern Nights,Glen Campbell
Blitzkrieg Bop - 2016 Remaster,Ramones
One,Three Dog Night
Mr. Blue Sky,Electric Light Orchestra
Happy Together,The Turtles
I'm a Believer - 2006 Remaster,The Monkees
I Get Around (Mono),The Beach Boys
Hey Jude - Remastered 2015,The Beatles
Back In The U.S.S.R. - Remastered 2009,The Beatles
Everybody's Gotta Live,Love
Yellow Submarine,The Beatles
Good Vibrations - Remastered 2001,The Beach Boys
Johnny B. Goode,Chuck Berry
Penny Lane,The Beatles
Surfin' U.S.A. - Remastered 2001,The Beach Boys
"Happy Days (Theme from ""Happy Days"")",Pratt & McClain
I Want To Hold Your Hand - Remastered 2015,The Beatles
Starman - 2012 Remaster,David Bowie
I'm Still Standing,Elton John
Down On The Corner,Creedence Clearwater Revival
Splish Splash,Bobby Darin
Chantilly Lace,The Big Bopper
Sh-Boom - Life Could Be A Dream - Sh-Boom,The Crew Cuts
Let's Twist Again,Chubby Checker
In The Still Of The Night,Dion & The Belmonts
Can't Help Falling In Love,Elvis Presley
Love Potion No. 9,The Clovers
Come Go With Me,The Del-Vikings
Who Put the Bomp (In the Bomp Bomp Bomp),The Viscounts
Sherry,Frankie Valli & The Four Seasons
Ain't No Mountain High Enough - Mono Version,Marvin Gaye; Tammi Terrell
The Boys Are Back In Town,Thin Lizzy
Hooked On A Feeling,Blue Swede; Björn Skifs
The Rubberband Man,The Spinners
I Want You Back,The Jackson 5
I'm Gonna Be (500 Miles),The Proclaimers
Spirit in the Sky,Norman Greenbaum
Barbara Ann,The Beach Boys
Little Deuce Coupe - Remastered 2001,The Beach Boys
Sweet Home Alabama,Lynyrd Skynyrd
American Pie,Don McLean
Fun, Fun, Fun (Mono),The Beach Boys
Come A Little Bit Closer,Jay & The Americans
Best of My Love,The Emotions
Goodbye Yellow Brick Road - Remastered 2014,Elton John
ABC,The Jackson 5
Time in a Bottle,Jim Croce
Up Around The Bend,Creedence Clearwater Revival
Blue (Da Ba Dee) - Gabry Ponte Video Edit,Eiffel 65; Gabry Ponte
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA
Have You Ever Seen The Rain,Creedence Clearwater Revival
Time After Time,Cyndi Lauper
One Way Or Another,Blondie
Easy Love,Sigala
December, 1963 (Oh What a Night!),The Four Seasons
Everybody Wants To Rule The World,Tears For Fears
You Should Be Dancing,Bee Gees
Three Is A Magic Number,Bob Dorough
The Safety Dance,Men Without Hats
Walk This Way (feat. Aerosmith),Run-D.M.C.; Aerosmith
Wake Me Up Before You Go-Go,Wham!
You Make My Dreams (Come True),Daryl Hall & John Oates
Amos Moses,Jerry Reed
Great Balls Of Fire,Jerry Lee Lewis
The Twist,Chubby Checker
I Saw Her Standing There - Remastered 2009,The Beatles
Ob-La-Di, Ob-La-Da - Remastered 2009,The Beatles
The Promise,When In Rome
Here Comes The Sun - Remastered 2009,The Beatles
Walking On Sunshine,Katrina & The Waves
Jailhouse Rock,Elvis Presley
The Lion Sleeps Tonight,The Tokens
Brown Eyed Girl,Van Morrison
Rocket Man (I Think It's Going To Be A Long, Long Time),Elton John
The Gambler,Kenny Rogers
Ready Or Not, Here I Come,Bob Dorough
The Good Eleven,Bob Dorough
