Virginia Reel - Original,The Bucket Band
Church Clap,KB; Lecrae
I Love a Rainy Night,Eddie Rabbitt
The Fox,Nickel Creek
Electric Slide,The Hit Crew
Cha Cha Slide - Original Live Platinum Band Mix,DJ Casper
Marie's Wedding,The High Kings
Tell Me Ma (Belfast City),Rend Collective
Cupid Shuffle,Cupid
Cotton Eye Joe,Rednex
Dance Above The Rainbow,Ronan Hardiman
The Belfast Polka / Drowsy Maggie / Reilland,Phil Coulter; James Galway; The Irish Philharmonia
"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins
Duelling Violins,Ronan Hardiman
What Makes You Beautiful,One Direction
Shut Up and Dance,WALK THE MOON
Safe And Sound,Capital Cities
Drive,Ben Rector
Swallowtail Jig,Two Goss Crew
William Wallace,Derek Fiechter; Brandon Fiechter
"When Can I See You Again? - From ""Wreck-It Ralph"" Soundtrack",Owl City
The Collarise Jig / Sharis' Favourite / Fairthorn Home / Maids of Mt. Cisco,Vandon Batis; Golden Bough
Cry Of The Celts - Single Edit With Taps,Ronan Hardiman
Best Song Ever,One Direction
Good Time,Owl City; Carly Rae Jepsen
Raging Sea,The Elders
Far Side of the World,Tide Lines
Stumptown,Nickel Creek
The Lion Sleeps Tonight (Wimoweh),The Tokens
Nigun Atik,Kashani
Circassian Circle,Jim MacLeod & His Band
