Infidels At Bay - Instrumental,Tommee Profitt
Justin's Theme,Jeff Russo
Crossing Mars,Harry Gregson-Williams
Victory (feat. Julie Elven) - Part 1 - Motherland,Joris de Man;Julie Elven
Swan Lake - Epic Trailer Version,Hidden Citizens
Return to Skyhold,Trevor Morris
The Final Frontier,Jeff Russo
47 Ronin,Ilan Eshkeri
"Thor: The Dark World - From ""Thor: The Dark World"" / Score",Brian Tyler
Aloy's Theme (feat. Julie Elven) - Part 1 - Motherland,Joris de Man;Julie Elven
Call of Duty: Modern Warfare 2,Hans Zimmer;Lorne Balfe
Ender's War,Steve Jablonsky
Victory,Two Steps From Hell;Thomas Bergersen
Heart of Courage,Thomas Bergersen;Two Steps From Hell
Strength of a Thousand Men,Thomas Bergersen;Two Steps From Hell
1000 Ships of the Underworld,Nick Phoenix;Two Steps From Hell
Cannon in D Minor,Two Steps From Hell;Thomas Bergersen
Mountains,Hans Zimmer
No Time for Caution,Hans Zimmer
Making Water,Harry Gregson-Williams
STAY,Hans Zimmer
Cornfield Chase,Hans Zimmer
The Blue Planet,Jacob Shea;Hans Zimmer;David Fleming
Praying,Rupert Gregson-Williams
One Man At A Time,Rupert Gregson-Williams
The Imitation Game,Alexandre Desplat;London Symphony Orchestra
Hope (Xavier's Theme),John Ottman;Jeffrey Schindler;American Federation of Musicians
The Oath,Jürgen Beck
Arriving in the New World,Jürgen Beck
Arrival to Earth,Steve Jablonsky
American Prometheus,Ludwig Göransson
Can You Hear The Music,Ludwig Göransson
Glory Battle,Michael W. Smith
Time,Hans Zimmer
Dream of Arrakis,Hans Zimmer
Gom Jabbar,Hans Zimmer
Leaving Caladan,Hans Zimmer
Venice Rooftops,Jesper Kyd;Assassin's Creed
Ezio's Family,Jesper Kyd;Assassin's Creed
The Battle,Harry Gregson-Williams
Now We Are Free,Hans Zimmer;Klaus Badelt;Lisa Gerrard;Gavin Greenaway;The Lyndhurst Orchestra
Dream Is Collapsing,Hans Zimmer
"Roll Tide - From ""Crimson Tide"" Soundtrack",John Bacchus Dykes;Hans Zimmer
See What I've Become,Zack Hemsey
Pompeii MMXIII,Bastille;Hans Zimmer
Petrichor,J.T. Peterson
Po Finds The Truth,John Powell;Hans Zimmer
Journey To Skyhold,Trevor Morris
My Fist Hungers For Justice,John Powell;Hans Zimmer
Irue Strength - Epic Music,John Dreamer
Rise,Hans Zimmer
Hide and Seek,Ghostwriter;Michael Lee
First Class,Henry Jackman
The King of the Golden Hall,Howard Shore
Kiss the Ring,Hans Zimmer
"Final Ascent - Single Edit / From ""No Time To Die"" Soundtrack",Hans Zimmer
Herald of the Change,Hans Zimmer
The Fifth Spirit Overture,Frostudio Chambersonic
Toothless Lost,John Powell
Save Kung Fu,John Powell;Hans Zimmer
Separate Ways (Worlds Apart) - Steve Perry & Bryce Miller Extended Remix,Journey;Steve Perry
