Fools Marching,Tim Be Told
Time in a Bottle,Jim Croce
Freaks - Radio Edit,Timmy Trumpet;Savage
Burnin' Up,Jonas Brothers
Random Thoughts 3,Shai Linne
Fun, Fun," Fun - From ""Despicable Me""",Pharrell Williams
A Beautiful Life,Tim McMorris
Deja Vu (Initial D),Tsuko G
Complicated,Avril Lavigne
Am I Dreaming (Metro Boomin & A$AP Rocky & Roisee),Metro Boomin;A$AP Rocky;Roisee
All About It,Jamie Lono
Kings And Queens,Thirty Seconds To Mars
Slow Down,Nichole Nordeman
Young Forever,High Valley
Dear Life,High Valley
Scream and Run Away,The Gothic Archies
Happy Goast Lucky,Zayde
She's Made for You,Allen Levi
FACTS,Tom MacDonald;Ben Shapiro
The House and the Infant,Jorge Rivera-Herrans;Luke Holt;EPIC Ensemble
Beautiful Things,Benson Boone
Your Needs, My Needs,Noah Kahan
Madness,Muse
Citizen Erased,Muse
Saturday,Twenty One Pilots
March To The Sea,Twenty One Pilots
Taxi Cab,Twenty One Pilots
Hometown,Twenty One Pilots
My Blood,Twenty One Pilots
Lemon Tree,Fools Garden
Love & War in Your Twenties,Jordy Searcy
Run To The End Of The Highway - MLV. Remaster / 1999 Digital Remaster,Keith Green
Hazel Eyes,Sabrina Jordan
Redecorate,Twenty One Pilots
Stereo Hearts (feat. Adam Levine),Gym Class Heroes;Adam Levine
Sunday's On The Way,Carman
Triangle Square,Terry Scott Taylor
Wind and Walls,The Tallest Man On Earth
85,Andy Grammer
The Thanksgiving Song,Ben Rector
Preachers,Harvest
As We Ran,The National Parks
Coração,The National Parks
Monsters of the North,The National Parks
Wherever I Go,The National Parks
Chance,The National Parks
Nancy Mulligan,The Wellermen;MALINDA;Cullen Vance
Just Begun,WILD
Floor Is Lava,Ghostwriter;Michael Lee
My Hero,Foo Fighters
Rise Up,TheFatRat
Lose My Head,Honest Men
