Until Grace,Tauren Wells; Rascal Flatts
Under Fire (Opening Stage) [Megaman X3],Metaltool
Song for Walking,Tophouse
Verge,Owl City; Aloe Blacc
Georgia Boys,Adam Young
Aiming at Polaris,Francis Wells
Fortunate Son,Creedence Clearwater Revival
Kickstart My Heart,Mötley Crüe
Teenage Color,Falcon Dives
Crispy Days,Lupus Nocte
Anybody Out There?,Burlap To Cashmere
Country Hymn,Adam Young
Takeoff,Adam Young
400 Degrees Between Sunlight and Shadow,Adam Young
Like No Other - Live,The Worship Initiative; CROSS Con Music; Jaleesa McCreary
Korriganda,Green Lads; Aroze
The Mason,Jake Scott
Life's Incredible Again,Michael Giacchino
Earth 2077,M83; Joseph Trapanese
Klockarpolskan efter Elsa Siljebo,Frida Johansson; Henrik Oja
The Wedding,Nathan Evans; SAINT PHNX
Molossus,James Newton Howard; Hans Zimmer
Mosaic,Theocracy
Two Steps Back,Jules Gaia
Eclipse,AGST
To the Sky,Owl City
Rise with the Sun,CityAlight
Let Your Kingdom Come,Sovereign Grace Music
Sing - Live,Sovereign Grace Music
All Creatures (Hallelujah to the King) [Live],HeartSong
King Tut,Steve Martin
Sh-Boom,The Crew Cuts
Psalm 8 (Halle),Phil Wickham
Let The Church Sing,Tauren Wells
Christ Our Hope In Life And Death,Keith & Kristyn Getty; Matt Papa; Sing!
Crown Him with Many Crowns,Shane & Shane
In Christ Alone,Shane & Shane
Yet Not I but Through Christ in Me,The Worship Initiative; Shane & Shane; Bethany Barnard
Oh But God,The Worship Initiative; Shane & Shane
All Glory Be to Christ,The Worship Initiative; Shane & Shane
When I Say I Do,Matthew West
Joy To The World,for KING & COUNTRY
Face Of God,Phil Wickham
Arrival at National Archives,Trevor Rabin
Into The Sunset,John Powell
Generosity,Cageless Birds
Two New Alphas,John Powell
Microbots,Henry Jackman
Supermoon,65daysofstatic
Should I Know You?,John Powell
I Could Use a Boost,Kris Bowers
Over Hill,Howard Shore
That's What The Lonely Is For,David Wilcox
