Prologue / Tradition / Main Title,"John Williams;Chaim Topol;""Fiddler On The Roof"" Motion Picture Chorus;Isaac Stern;""Fiddler On The Roof"" Motion Picture Orchestra"
Matchmaker,"John Williams;Rosalind Harris;Michele Marsh;Neva Small;""Fiddler On The Roof"" Motion Picture Orchestra"
If I Were A Rich Man,"John Williams;Chaim Topol;""Fiddler On The Roof"" Motion Picture Orchestra"
To Life,"John Williams;Chaim Topol;Paul Mann;""Fiddler On The Roof"" Motion Picture Chorus;""Fiddler On The Roof"" Motion Picture Orchestra"
Miracle Of Miracles,"John Williams;Leonard Frey;""Fiddler On The Roof"" Motion Picture Orchestra"
The Oldest Orphan in the John Grier Home,Megan McGinnis
No One Mourns the Wicked,Wicked Movie Cast;Ariana Grande;Andy Nyman;Courtney-Mae Briggs;Jeff Goldblum;Sharon D Clarke;Jenna Boyd
The Wizard And I,Cynthia Erivo;Michelle Yeoh
What Is This Feeling?,Ariana Grande;Cynthia Erivo
Defying Gravity - Edit,Cynthia Erivo;Ariana Grande
Dancing Through Life,Jonathan Bailey;Ariana Grande;Ethan Slater;Marissa Bode;Cynthia Erivo
Aaron Burr, Sir,Lin-Manuel Miranda;Leslie Odom Jr.;Daveed Diggs;Okieriete Onaodowan
The Story of Tonight,Lin-Manuel Miranda;Okieriete Onaodowan;Daveed Diggs;Original Broadway Cast of Hamilton
You'll Be Back,Jonathan Groff;Original Broadway Cast of Hamilton
Guns and Ships,Leslie Odom Jr.;Daveed Diggs;Christopher Jackson;Original Broadway Cast of Hamilton
History Has Its Eyes on You,Christopher Jackson;Lin-Manuel Miranda;Original Broadway Cast of Hamilton
Waving Through A Window,Ben Platt;Original Broadway Cast of Dear Evan Hansen
Agony,Chris Pine;Billy Magnussen
King Of New York,Ben Fankhauser;Kara Lindsay;Lewis Grosso;Newsies Original Broadway Cast
Seize The Day,Ben Fankhauser;Jeremy Jordan;Newsies Original Broadway Cast
Carrying The Banner,Jeremy Jordan;Newsies Original Broadway Cast
The World Will Know,Jeremy Jordan;Newsies Original Broadway Cast
With cat-like tread,Arthur Sullivan;George Cook;The D'Oyly Carte Opera Chorus;Royal Philharmonic Orchestra;Isidore Godfrey
Luck Be A Lady - Remastered 2000,Marlon Brando
Sit Down, You're Rockin' The Boat - Remastered 2000,Stubby Kaye
Prince Ali,Will Smith
Arabian Nights (2019),Will Smith
Seventy-Six Trombones,Robert Preston;The Original Broadway Cast Of The Music Man
At The End Of The Day - Live,"Colm Wilkinson;Jackie Marks;Michael McCarthy;The ""Les Misérables"" 10th Anniversary Cast;The ""Les Misérables"" 10th Anniversary Choir"
ABC Café / Red and Black - Live,"Michael Maguire;Michael Ball;Anthony Warlow;The ""Les Misérables"" 10th Anniversary Cast;The ""Les Misérables"" 10th Anniversary Ensemble"
Do You Hear The People Sing? - Live,"Michael Maguire;The ""Les Misérables"" 10th Anniversary Ensemble;The ""Les Misérables"" 10th Anniversary Cast;The ""Les Misérables"" 10th Anniversary Choir"
One Day More! - Live,"Les Misérables - 10th Anniversary Cast;The ""Les Misérables"" 10th Anniversary Choir"
Javert's Suicide - Live,Philip Quast
I Dreamed a Dream,Ruthie Henshall
Bring Tomorrow On,The Choir of Man
