Subliminal,half•alive
arrow,half•alive
Loop Cycle,The Gray Havens
Christus Victor (Amen),Bryan Fowler; Terrian
Oblivion,M83; Susanne Sundfør
NEVER GET USED TO THIS (feat. JVKE),Forrest Frank; JVKE
Something That I Want,Grace Potter
The Walker,Fitz and The Tantrums
Symphony (feat. Zara Larsson),Clean Bandit; Zara Larsson
The One Moment,OK Go
Lost Boy,Relient K
Highland Girl,Nathan Evans
Out Of The Rain,TheFatRat; Shiah Maisel
Gone (Owl City Version),Switchfoot; Owl City
I Want to Know You,Sonicflood
Do It Again,Steven Curtis Chapman
Mosaic,Theocracy
Number One,Tophouse
Meant To Live (Jon Bellion Version),Switchfoot; Jon Bellion
Haul Away,Nathan Evans
Shine,The Gray Havens
Ordinary Miracle,The Gray Havens
It Is What It Is,Jenna Raine
Icarus,Bastille
More Than The Day Before,Cody Fry
Where I'm From,Colony House
Move Me,half•alive
Adding To The Noise (Dayglow Version),Switchfoot; Dayglow
Somebody To You (feat. Cory Wong & Vincen García),Cody Fry; Cory Wong; Vincen García
Til Kingdom Come,Coldplay
