Like No Other - Live,The Worship Initiative;CROSS Con Music;Jaleesa McCrary
Doxology / Amen,The Worship Initiative;Shane & Shane
You've Already Won - Radio Version,Shane & Shane
Yet Not I but Through Christ in Me,The Worship Initiative;Shane & Shane;Bethany Barnard
"Holy, Holy, Holy - Live",Sovereign Grace Music;Bob Kauflin
Worthy of It All - Live,The Worship Initiative;Shane & Shane
Oh But God,The Worship Initiative;Shane & Shane
All Glory Be to Christ,The Worship Initiative;Shane & Shane
Abide,The Worship Initiative;Davy Flowers
In Christ Alone,Shane & Shane
My Soul (Psalm 62) - Studio Version,The Worship Initiative;Writers Well;Dinian Wright;Carson Cooper
How Great Thou Art,Shane & Shane
Crown Him with Many Crowns,Shane & Shane
He Will Hold Me Fast,Shane & Shane
His Glory and My Good - Live,CityAlight
Thank You Jesus for the Blood - Live,The Worship Initiative;Davy Flowers;Dinah Wright
Jesus Paid It All,The Worship Initiative;Shane & Shane
All Creatures (Sing the Harmony) - Live,Shane & Shane;Davy Flowers
Sing - Live,Sovereign Grace Music
All I Have Is Christ,The Worship Initiative;Shane & Shane
Let Your Kingdom Come,Sovereign Grace Music
Before the Throne of God Above,The Worship Initiative;Shane & Shane
Rise with the Sun,CityAlight
Psalm 145,Shane & Shane
Turn Your Eyes Upon Jesus (Amazing Grace),Shane & Shane
Christ Our Hope in Life and Death,Keith & Kristyn Getty;Matt Papa;Sing!
All Things - Live,Sovereign Grace Music
Christ Our Wisdom - Live,Sovereign Grace Music
Is He Worthy (Live),Shane & Shane
Nothing but the Blood of Jesus,CityAlight
O Praise the Name (Live),Shane & Shane
Come Thou Fount (Above All Else),Shane & Shane
Let the Nations Be Glad,Matt Boswell;Matt Papa
Faithful and True - Live,New Life Worship;Dee Wilson
