I Love You Will Still Sound The Same,Oh Honey
How To Fall,Josh Wilson
Falling in Love at a Coffee Shop,Landon Pigg
Dancing in the Minefields,Andrew Peterson
If You're the Coffee,The Arcadian Wild
Band of Gold,The Gray Havens
Forever Like That,Ben Rector
My Muse,Owl City
Lemonade,Chris Rice
Let's Get Married,The Gray Havens
Go,Cody Fry
So Will I,Ben Platt
Meant to Be,JJ Heller
Cherry Street,The Icarus Account
Until I Found You,Stephen Sanchez
I Like You,Ben Rector
Blue Flower,The Gray Havens
Where Does the Time Go,A Great Big World
Map to Your Heart,Copperlily
Something Beautiful,Tim Halperin
Good Morning Beautiful,Luke McMaster;Jim Brickman
What Are Words (feat. Peter Hollens & Evynne Hollens),Lauren Christy;Rodney Jerkins;Andre Lindal;The Piano Guys;Peter Hollens;Evynne Hollens
Beautiful Soul,Boyce Avenue
Tuesdays,Jake Scott
Grow as We Go,Ben Platt
Love You Like the Movies,Anthem Lights
I Choose You,Andy Grammer
Thank God I Got Her,Jonny Diaz
Love Like That,Phillip Phillips
World to Me,Street Corner Symphony
Whole Lives,Jake Scott
Slow Dance,Adam McGinty
Everything,Street Corner Symphony
Baby I Got You,Benny & Tyler
Fine By Me,Andy Grammer
I Haven't Seen You Since The Summer,Beeson
Coming Home,Drew Holcomb;Ellie Holcomb;Drew Holcomb & The Neighbors
Far Side of the World,Tide Lines
Vanilla Twilight,Owl City
Car Trouble,Owl City
Growing Old With You,Restless Road
Rich,Jordy Searcy
What If I Like You Too,Gracie Schram
Minefield Full of Flowers,Tophouse
Five Foot Three,Flannel Graph
It's a Wonderful Life,John Lucas
Forever Young,Andrea von Kampen
More Than The Day Before,Cody Fry
